field,type,nullable,description,example,note
id,string,False,Уникальный идентификатор статьи в OpenAlex,https://openalex.org/W2741809807,Формат: URL вида https://openalex.org/W + числовой код. Используется как первичный ключ при дедупликации и сопоставлении с патентными цитированиями (NPL) в Задаче 4.
title,string,False,Заголовок научной статьи на языке оригинала,CRISPR-Cas9 for medical genetic screens: applications and future perspectives,Большинство статей на английском. Используется в ML-сопоставлении (Задача 5) и кластеризации (Задача 6) если абстракт недоступен.
abstract,string,False,Полный текст абстракта статьи восстановленный из inverted index,We present a novel approach to semiconductor fabrication...,"OpenAlex хранит абстракты в формате abstract_inverted_index — это словарь где каждому слову сопоставлен список его позиций в тексте. Например: {""CRISPR"": [0], ""is"": [1], ""powerful"": [2]}. Мы восстанавливаем текст сортируя слова по позициям. Такой формат используется из-за авторских прав издателей на полный текст. Записи без абстракта удалены при очистке так как они непригодны для NLP-задач (Задача 5)."
publication_date,date,True,Дата публикации статьи в формате YYYY-MM-DD,2022-05-15,"Используется для помесячного анализа динамики. Может отсутствовать у старых записей — в таком случае используется поле year. У многих статей дата указана как 1 января (YYYY-01-01) что создаёт искусственный январский пик на помесячных графиках."
year,integer,False,Год публикации статьи,2022,"Всегда заполнен в отличие от publication_date. Используется для годовой агрегации и расчёта метрик CAGR, YoY, Acceleration. Данные собраны за период 2010–2025."
cited_by_count,integer,False,Количество цитирований статьи на момент выгрузки,142,"Обновляется в OpenAlex ежедневно — при повторной выгрузке значение может отличаться. Используется для выбора ключевых публикаций в Topic Card (топ по цитируемости). Высокое значение = значимая статья для области."
doi,string,True,Digital Object Identifier — постоянная ссылка на публикацию,https://doi.org/10.1038/s41586-021-03819-2,"Для Задачи 4 (Time Lag): патенты цитируют статьи через DOI в поле npl_text. По DOI можно находить пары патент–статья и считаем временной лаг. Отсутствует примерно у 15–20% записей особенно у старых статей и препринтов."
topic_id,string,False,Идентификатор первичной темы статьи в классификации OpenAlex,T10472,"OpenAlex автоматически присваивает каждой статье темы на основе заголовка/абстракта/журнала/цитирований. primary_topic — главная тема с наибольшим весом. Иерархия: Domain → Field → Subfield → Topic. По topic_id мы фильтруем статьи при сборе данных."
topic_name,string,False,Название первичной темы статьи на английском языке,Semiconductor Devices and Fabrication,"Человекочитаемое название для topic_id. Используется в визуализации и отчётах. Соответствует классификации OpenAlex Topics которую можно посмотреть на https://api.openalex.org/topics."
institutions,string,True,Уникальные организации всех авторов статьи через точку с запятой,MIT; Stanford University; Samsung Electronics,"Извлекается из поля authorships где каждый автор привязан к одной или нескольким организациям. Дубликаты удалены — если два автора из MIT это всё равно одна запись MIT. Используется для анализа топ-игроков (Topic Card) и географии научной активности."
concepts_scored,string,True,"Научные концепции статьи с весами релевантности в формате концепция(score) через точку с запятой","Photonics(0.51); Computer science(0.4); Physics(0.22); Optoelectronics(0.17)","OpenAlex присваивает концепции на основе иерархии Wikipedia — от широких областей (Physics) до узких подтем (Optoelectronics). Score от 0 до 1 показывает релевантность концепции для данной статьи. В отличие от topic_id который даёт одну главную тему, concepts_scored отражает все тематические области статьи. Полезен для кластеризации (Задача 6) и ML-сопоставления (Задача 5) — особенно для статей на пересечении нескольких областей."
ref_count,integer,True,Количество источников в списке литературы данной статьи,47,"Исходящие цитирования — сколько других работ данная статья цитирует сама. В отличие от cited_by_count (входящие цитирования). Высокий ref_count характерен для обзорных статей (review). Может использоваться в Задаче 4 как дополнительный признак при анализе связей наука→патенты: статьи с большим числом ссылок чаще цитируются патентами."
open_access,boolean,False,Флаг открытого доступа к полному тексту статьи,True,"True = полный текст статьи доступен бесплатно. Может быть полезен в Задаче 5 для расширения анализа до полного текста статьи а не только абстракта."
type,string,True,Тип публикации по классификации OpenAlex,article,"Возможные значения: article (рецензируемая статья), preprint (препринт без рецензии), review (обзорная статья), book-chapter (глава книги), dataset (набор данных). Большинство записей — article. Препринты могут дублировать опубликованные статьи под другим ID."
